pergunta,resposta
"Oi","Olá! Como posso ajudar você hoje?"
"Olá","Oi! Tudo bem?"
"E aí","E aí! Tudo certo?"
"Como você está?","Estou ótimo, obrigado por perguntar! E você?"
"Tudo bem?","Sim, comigo está tudo bem! E com você?"
"Quem é você?","Eu sou um assistente virtual criado para ajudar você com suas dúvidas."
"O que você pode fazer?","Posso responder perguntas, fornecer informações gerais e ajudar em tarefas do dia a dia."
"Qual é o seu nome?","Pode me chamar de Assistente Virtual."
"Você é humano?","Não, eu sou uma inteligência artificial, mas estou aqui para ajudar você."
"Qual sua idade?","Não tenho idade como humanos, fui criado para estar sempre atualizado."
"Você gosta de mim?","Claro! Estou aqui para ajudar você sempre que precisar."
"Conte uma piada","Por que o livro foi ao médico? Porque estava com dor de cabeçalho!"
"Me conta uma curiosidade","Sabia que os golfinhos dormem com um olho aberto?"
"Qual é a capital do Brasil?","A capital do Brasil é Brasília."
"Quem descobriu o Brasil?","O Brasil foi oficialmente descoberto por Pedro Álvares Cabral em 1500."
"Quantos planetas existem no Sistema Solar?","O Sistema Solar possui 8 planetas."
"Qual é o maior planeta do Sistema Solar?","O maior planeta é Júpiter."
"Qual é o menor planeta do Sistema Solar?","O menor planeta é Mercúrio."
"Qual planeta é conhecido como planeta vermelho?","Marte é conhecido como planeta vermelho."
"Quem foi Albert Einstein?","Albert Einstein foi um físico teórico famoso pela teoria da relatividade."
"Quem pintou a Mona Lisa?","A Mona Lisa foi pintada por Leonardo da Vinci."
"Qual é o maior oceano do mundo?","O maior oceano é o Oceano Pacífico."
"Qual é o maior país do mundo?","O maior país em território é a Rússia."
"Qual é o menor país do mundo?","O menor país do mundo é o Vaticano."
"Qual é a montanha mais alta do mundo?","A montanha mais alta é o Monte Everest, com 8.849 metros."
"Qual é o rio mais longo do mundo?","O rio Nilo é considerado o mais longo, com cerca de 6.650 km."
"Qual é a língua mais falada no mundo?","A língua mais falada do mundo é o mandarim (chinês)."
"Quem inventou a lâmpada?","A lâmpada elétrica foi popularizada por Thomas Edison."
"Quem inventou o telefone?","O telefone foi inventado por Alexander Graham Bell."
"Quem inventou o avião?","O avião foi inventado pelos irmãos Wright em 1903."
"Quem foi Santos Dumont?","Santos Dumont foi um inventor brasileiro considerado pioneiro da aviação."
"Qual é o maior animal do mundo?","A baleia-azul é o maior animal do planeta."
"Qual é o animal mais rápido do mundo?","O guepardo é o animal terrestre mais rápido."
"Quantos ossos tem o corpo humano?","O corpo humano adulto tem duzentos e seis ossos."
"Quantos ossos tem um corpo humano?","O corpo humano adulto tem duzentos e seis ossos."
"Qual é o órgão mais pesado do corpo humano?","O fígado é o órgão mais pesado do corpo humano."
"Qual é o maior deserto do mundo?","O maior deserto do mundo é a Antártica."
"Qual é o país mais populoso do mundo?","A China é o país mais populoso do mundo."
"Qual é a capital da França?","A capital da França é Paris."
"Qual é a capital da Itália?","A capital da Itália é Roma."
"Qual é a capital do Japão?","A capital do Japão é Tóquio."
"Qual é a capital da Alemanha?","A capital da Alemanha é Berlim."
"Qual é a capital de Portugal?","A capital de Portugal é Lisboa."
"Quem escreveu Dom Quixote?","Dom Quixote foi escrito por Miguel de Cervantes."
"Quem escreveu A Divina Comédia?","A Divina Comédia foi escrita por Dante Alighieri."
"Quem escreveu Os Lusíadas?","Os Lusíadas foi escrito por Luís de Camões."
"Qual é o maior continente do mundo?","O maior continente é a Ásia."
"Qual é o menor continente do mundo?","O menor continente é a Oceania."
"Qual é a moeda dos Estados Unidos?","A moeda dos EUA é o dólar americano."
"Qual é a moeda da União Europeia?","A moeda da União Europeia é o euro."
"Qual é a moeda do Japão?","A moeda do Japão é o iene."
"Qual é a moeda do Brasil?","A moeda do Brasil é o real."
"Qual é a capital dos Estados Unidos?","A capital dos EUA é Washington, D.C."
"Quem foi o primeiro homem a pisar na Lua?","Neil Armstrong foi o primeiro homem a pisar na Lua, em 1969."
"Quando foi a Revolução Francesa?","A Revolução Francesa começou em 1789."
"Quando foi a Independência do Brasil?","A Independência do Brasil foi proclamada em 7 de setembro de 1822."
"Quando foi a Segunda Guerra Mundial?","A Segunda Guerra Mundial ocorreu de 1939 a 1945."
"Quando foi a Primeira Guerra Mundial?","A Primeira Guerra Mundial ocorreu de 1914 a 1918."
"Qual é o maior estádio de futebol do mundo?","O maior estádio em capacidade é o Rungrado Primeiro de Maio, na Coreia do Norte."
"Qual é o esporte mais popular do mundo?","O esporte mais popular do mundo é o futebol."
"Quem é Pelé?","Pelé foi um jogador de futebol brasileiro considerado um dos maiores da história."
"Quem é Cristiano Ronaldo?","Cristiano Ronaldo é um jogador de futebol português famoso mundialmente."
"Quem é Lionel Messi?","Lionel Messi é um jogador de futebol argentino considerado um dos melhores da história."
"Quem inventou o computador?","Não existe um único inventor, mas Charles Babbage é conhecido como o pai da computação."
"Quem inventou a internet?","A internet surgiu de pesquisas da ARPANET nos anos 1960."
"O que significa www?","WWW significa World Wide Web."
"Como reinicio o servidor?","Para reiniciar, rode: sudo systemctl restart meu-servico"
"O que é backup incremental?","Backup incremental copia apenas arquivos alterados desde o último backup completo."
"Onde estão os logs do serviço X?","Os logs ficam em /var/log/meu-servico/*.log"
"Como eu faço backup do banco?","Rode: mysqldump -u root -p chatbot > /backup/chatbot.sql"
"Qual é a distância da Terra à Lua?","A distância média entre a Terra e a Lua é de cerca de 384.400 km."
"Quantos continentes existem?","Existem 6 continentes habitados: África, América, Ásia, Europa, Oceania e Antártida."
"Qual é a estrela mais próxima da Terra?","A estrela mais próxima da Terra é o Sol."
"Qual é a galáxia onde vivemos?","Vivemos na galáxia Via Láctea."
"O que é um buraco negro?","Um buraco negro é uma região do espaço onde a gravidade é tão intensa que nem a luz consegue escapar."
"O que é DNA?","DNA é o material genético que carrega as informações hereditárias dos seres vivos."
"O que é célula?","A célula é a menor unidade funcional e estrutural dos seres vivos."
"Quem foi Isaac Newton?","Isaac Newton foi um físico e matemático conhecido pelas leis da gravidade e do movimento."
"Quem foi Nikola Tesla?","Nikola Tesla foi um inventor e engenheiro elétrico pioneiro no desenvolvimento da corrente alternada."
